title,author,author_company,repo,number,closed,created_at,closed_at,updated_at,labels,thumbs_up,thumbs_down
[New Data Source]: GaussDB,carlosportillo,,grafana/grafana,102326,false,2025-03-17 21:19:59,,2025-03-17 21:19:59,"area/datasource, type/new-plugin-request",80,20
Transforms: Add field from calculation doesn't create new field,morphias2004,InPhase Industries,grafana/grafana,102324,false,2025-03-17 21:10:15,,2025-03-17 21:58:39,"type/bug, datasource/InfluxDB, area/transformations, type/regression, automated-triage",90,10
Alloy remotecfg fetches remote config but doesn’t apply it to running instance,zt4123,,grafana/alloy-remote-config,16,false,2025-03-17 19:54:18,,2025-03-17 19:55:41,,84,16
"Grafana display returned data from query in ""wide"" format without refid",xMiNiMaLx,,grafana/grafana,102317,false,2025-03-17 19:09:03,,2025-03-17 19:12:18,"type/bug, area/transformations, datasource/Zabbix, automated-triage",84,16
"GET /api/teams/search returns ALL teams, not just the ones from the user",abel-cap,Capgemini,grafana/grafana,102315,false,2025-03-17 18:22:57,,2025-03-17 21:06:11,"type/bug, area/admin/user, area/backend/api, automated-triage",78,22
"After successful login via GENERIC_OAUTH, I am redirected to the root page rather then the dashboard",szuwarek80,,grafana/grafana,102313,false,2025-03-17 18:16:16,,2025-03-17 18:19:51,"type/bug, area/auth/oauth, area/frontend/login, automated-triage",64,36
Change error description when fetching the artifact,pablochacin,grafana labs,grafana/k6provider,70,false,2025-03-17 17:43:11,,2025-03-17 17:43:11,enhancement,37,63
Feature annotation-based autodiscovery services disabled crashes pod,justinwalz,,grafana/k8s-monitoring-helm,1331,false,2025-03-17 17:11:59,,2025-03-17 17:13:16,,44,56
can't run unit tests after upgrade github.com/grafana/grafana-plugin-sdk-go@v0.274.0,Slach,Altinity,grafana/grafana-plugin-sdk-go,1276,false,2025-03-17 17:10:59,,2025-03-17 17:45:36,bug,42,58
Grafana.Spelling: subchart,BeverlyJaneJ,Grafana,grafana/writers-toolkit,1099,false,2025-03-17 16:55:07,,2025-03-17 16:55:07,,92,8
check default cache dir exists,pablochacin,grafana labs,grafana/k6provider,69,false,2025-03-17 16:37:12,,2025-03-17 16:37:12,bug,22,78
